xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
583,112,801,136,PO Box 3149,a,"Canyon Lake, TX 78133",42.0,2,"$1,128.00 ",0.0,-1,42.0,0.0
432,148,545,200,CIL,a,INDUSTRIAL SERVICES INC.,51.0,4,830-935-4430 Phone,226.0,3,51.0,226.0
583,150,976,182,"Canyon Lake, TX 78133",a,830-935-4430 Phone,42.0,3,"$1,128.00 ",0.0,-1,42.0,0.0
582,198,847,218,830-935-4430 Phone,a,830-935-4048 FAX,30.0,7,Date,597.0,5,30.0,597.0
119,212,548,238,INDUSTRIAL SERVICES INC.,a,SPECIALIZING IN SOLUTIONS,51.5,8,830-935-4048 FAX,368.0,7,51.5,368.0
1285,207,1338,228,Date,a,9/13/2019,63.0,9,Invoice #,188.0,6,63.0,188.0
1449,206,1550,226,Invoice #,a,12379,64.5,10,"$1,128.00 ",0.0,-1,64.5,0.0
583,228,820,248,830-935-4048 FAX,a,800-621-1506,442.0,22,"$1,128.00 ",0.0,-1,442.0,0.0
260,268,547,285,SPECIALIZING IN SOLUTIONS,a,Appleton Group,168.5,13,9/13/2019,907.5,9,-1.0,907.5
1255,270,1367,291,9/13/2019,a,delivered,549.5,33,12379,188.0,10,-1.0,188.0
1464,270,1534,291,12379,a,F.O.B.,486.0,29,"$1,128.00 ",0.0,-1,486.0,0.0
183,382,253,402,Bill To,a,Appleton Group,53.0,13,Ship To,769.5,12,53.0,769.5
944,381,1031,406,Ship To,a,Appleton Group,52.0,14,"$1,128.00 ",0.0,-1,52.0,0.0
157,433,333,457,Appleton Group,a,Attn: Accounts Payable,28.5,15,Appleton Group,763.0,14,28.5,763.0
920,433,1096,458,Appleton Group,a,13639 Aldine Westfield Road,25.0,16,"$1,128.00 ",0.0,-1,25.0,0.0
158,461,417,486,Attn: Accounts Payable,a,9377 West Higgins,28.0,17,13639 Aldine Westfield Road,795.0,16,28.0,795.0
920,460,1245,481,13639 Aldine Westfield Road,a,"Houston, TX 77039",30.5,18,"$1,128.00 ",0.0,-1,30.5,0.0
157,489,370,514,9377 West Higgins,a,"Rosemont, IL 60018",28.5,19,"Houston, TX 77039",764.5,18,28.5,764.5
921,489,1135,513,"Houston, TX 77039",a,Ship,268.0,27,"$1,128.00 ",0.0,-1,268.0,0.0
158,518,383,542,"Rosemont, IL 60018",a,Need to email invoices,26.0,20,"$1,128.00 ",0.0,-1,26.0,0.0
158,546,410,566,Need to email invoices,a,Customer Phone,124.0,21,"$1,128.00 ",0.0,-1,124.0,0.0
162,670,349,690,Customer Phone,a,Customer Fax,37.0,23,800-621-1506,261.5,22,37.0,261.5
446,670,588,690,800-621-1506,a,2817743755,37.0,24,"$1,128.00 ",0.0,-1,37.0,0.0
